wavenumber,intensity
400.0,0.0
445.16129032258067,0.10740448534488678
490.3225806451613,0.2099567949771881
535.483870967742,0.3076571524143219
580.6451612903226,0.4005054235458374
625.8064516129032,0.4885016083717346
670.9677419354839,0.5740742683410645
716.1290322580645,0.6538184881210327
761.2903225806451,0.7269166707992554
806.4516129032259,0.7926196455955505
851.6129032258065,0.8502534031867981
896.7741935483871,0.8992277383804321
941.9354838709678,0.9390400648117065
987.0967741935484,0.9692826867103577
1032.258064516129,0.9896456599235535
1077.4193548387098,0.9999197125434875
1122.5806451612902,1.0
1167.741935483871,0.9898854494094849
1212.9032258064517,0.96968013048172
1258.0645161290322,0.9395905137062073
1303.225806451613,0.899925708770752
1348.3870967741937,0.8510918617248535
1393.5483870967741,0.7935898900032043
1438.7096774193549,0.7280088663101196
1483.8709677419356,0.6550214886665344
1529.032258064516,0.575375497341156
1574.1935483870968,0.4898877739906311
1619.3548387096776,0.4019603431224823
1664.516129032258,0.30916690826416016
1709.6774193548388,0.21150752902030945
1754.8387096774195,0.10898207128047943
1800.0,0.0015906412154436111
